"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit
2718,CA-2014-100006,2014-09-07,2014-09-13,"Standard Class",DK-13375,"Dennis Kane",Consumer,"United States","New York City","New York",10024,East,TEC-PH-10002075,Technology,Phones,"AT&T EL51110 DECT",377.97,3,0,109.6113
6288,CA-2014-100090,2014-07-08,2014-07-12,"Standard Class",EB-13705,"Ed Braxton",Corporate,"United States","San Francisco",California,94122,West,FUR-TA-10003715,Furniture,Tables,"Hon 2111 Invitation Series Corner Table",502.488,3,0.2,-87.9354
9515,CA-2014-100293,2014-03-14,2014-03-18,"Standard Class",NF-18475,"Neil Franzsisch","Home Office","United States",Jacksonville,Florida,32216,South,OFF-PA-10000176,"Office Supplies",Paper,"Xerox 1887",91.056,6,0.2,31.8696
3836,CA-2014-100363,2014-04-08,2014-04-15,"Standard Class",JM-15655,"Jim Mitchum",Corporate,"United States",Glendale,Arizona,85301,West,OFF-FA-10000611,"Office Supplies",Fasteners,"Binder Clips by OIC",2.368,2,0.2,0.8288
3837,CA-2014-100363,2014-04-08,2014-04-15,"Standard Class",JM-15655,"Jim Mitchum",Corporate,"United States",Glendale,Arizona,85301,West,OFF-PA-10004733,"Office Supplies",Paper,"Things To Do Today Spiral Book",19.008,3,0.2,6.8904
9441,CA-2014-100391,2014-05-25,2014-05-29,"Standard Class",BW-11065,"Barry Weirich",Consumer,"United States","New York City","New York",10035,East,OFF-PA-10001471,"Office Supplies",Paper,"Strathmore Photo Frame Cards",14.62,2,0,6.7252
6570,CA-2014-100678,2014-04-18,2014-04-22,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States",Houston,Texas,77095,Central,FUR-CH-10002602,Furniture,Chairs,"DMI Arturo Collection Mission-style Design Wood Chair",317.058,3,0.3,-18.1176
6569,CA-2014-100678,2014-04-18,2014-04-22,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States",Houston,Texas,77095,Central,OFF-AR-10001868,"Office Supplies",Art,"Prang Dustless Chalk Sticks",2.688,2,0.2,1.008
6571,CA-2014-100678,2014-04-18,2014-04-22,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States",Houston,Texas,77095,Central,OFF-EN-10000056,"Office Supplies",Envelopes,"Cameo Buff Policy Envelopes",149.352,3,0.2,50.4063
6572,CA-2014-100678,2014-04-18,2014-04-22,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States",Houston,Texas,77095,Central,TEC-AC-10000474,Technology,Accessories,"Kensington Expert Mouse Optical USB Trackball for PC or Mac",227.976,3,0.2,28.497
9021,CA-2014-100706,2014-12-16,2014-12-18,"Second Class",LE-16810,"Laurel Elliston",Consumer,"United States",Springfield,Virginia,22153,South,FUR-FU-10002268,Furniture,Furnishings,"Ultra Door Push Plate",29.46,6,0,9.7218
9020,CA-2014-100706,2014-12-16,2014-12-18,"Second Class",LE-16810,"Laurel Elliston",Consumer,"United States",Springfield,Virginia,22153,South,TEC-AC-10001314,Technology,Accessories,"Case Logic 2.4GHz Wireless Keyboard",99.98,2,0,7.9984
6315,CA-2014-100762,2014-11-24,2014-11-29,"Standard Class",NG-18355,"Nat Gilpin",Corporate,"United States",Jackson,Michigan,49201,Central,OFF-AR-10000380,"Office Supplies",Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",151.92,4,0,45.576
6316,CA-2014-100762,2014-11-24,2014-11-29,"Standard Class",NG-18355,"Nat Gilpin",Corporate,"United States",Jackson,Michigan,49201,Central,OFF-LA-10003930,"Office Supplies",Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",196.62,2,0,96.3438
6317,CA-2014-100762,2014-11-24,2014-11-29,"Standard Class",NG-18355,"Nat Gilpin",Corporate,"United States",Jackson,Michigan,49201,Central,OFF-PA-10001815,"Office Supplies",Paper,"Xerox 1885",144.12,3,0,69.1776
6318,CA-2014-100762,2014-11-24,2014-11-29,"Standard Class",NG-18355,"Nat Gilpin",Corporate,"United States",Jackson,Michigan,49201,Central,OFF-PA-10004082,"Office Supplies",Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",15.96,2,0,7.98
9660,CA-2014-100860,2014-03-26,2014-03-30,"Second Class",CS-12505,"Cindy Stewart",Consumer,"United States",Pomona,California,91767,West,OFF-LA-10001982,"Office Supplies",Labels,"Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set",18.75,5,0,9
9462,CA-2014-100867,2014-10-19,2014-10-24,"Standard Class",EH-14125,"Eugene Hildebrand","Home Office","United States",Lakewood,California,90712,West,TEC-PH-10004922,Technology,Phones,"RCA Visys Integrated PBX 8-Line Router",321.552,6,0.2,20.097
8464,CA-2014-100881,2014-03-28,2014-04-01,"Standard Class",DR-12940,"Daniel Raglin","Home Office","United States",Albuquerque,"New Mexico",87105,West,TEC-PH-10003273,Technology,Phones,"AT&T TR1909W",302.376,3,0.2,22.6782
3888,CA-2014-100895,2014-06-02,2014-06-06,"Standard Class",SV-20785,"Stewart Visinsky",Consumer,"United States",Roswell,Georgia,30076,South,OFF-AR-10004511,"Office Supplies",Art,"Sanford Colorific Scented Colored Pencils, 12/Pack",8.56,2,0,2.6536
3890,CA-2014-100895,2014-06-02,2014-06-06,"Standard Class",SV-20785,"Stewart Visinsky",Consumer,"United States",Roswell,Georgia,30076,South,OFF-ST-10001490,"Office Supplies",Storage,"Hot File 7-Pocket, Floor Stand",356.94,2,0,107.082
3889,CA-2014-100895,2014-06-02,2014-06-06,"Standard Class",SV-20785,"Stewart Visinsky",Consumer,"United States",Roswell,Georgia,30076,South,TEC-PH-10001425,Technology,Phones,"Mophie Juice Pack Helium for iPhone",239.97,3,0,67.1916
